"Region","Year","Abundance","Depth_Mean","Area_Threshold","COG_Lat","COG_Long","Dist_Mean","Trailing_E","Trailing_N","Leading_E","Leading_N"
"USA",1990,89418.8649899478,-129.543301072302,14758121.3291425,42.7740454410195,-68.6409651604826,-74.4177579106686,-386.116871558552,4704.13016218116,813.883128441447,5054.13016218116
"Canada",1990,1357352.28345054,-325.572210678804,166382116.668892,43.8040038161243,-61.5864615703742,503.058033609825,-386.116871558552,4704.13016218116,813.883128441447,5054.13016218116
"USA",1991,80265.1291211422,-124.004437578389,13134727.9829368,42.9334192478322,-68.5325818123376,-64.6770557627622,-411.116871558552,4729.13016218116,788.883128441447,5104.13016218116
"Canada",1991,1173461.45649458,-376.514989924196,157922009.04166,43.925416016802,-61.0562216848748,542.770311035884,-411.116871558552,4729.13016218116,788.883128441447,5104.13016218116
"USA",1992,85720.352682466,-126.547411872418,13725052.8361025,42.8789258263893,-68.6259314053984,-72.0952244258027,-411.116871558553,4729.13016218116,963.883128441447,5229.13016218116
"Canada",1992,1169725.35693653,-301.788111617151,186827376.768035,44.0268947607816,-61.2765402638366,538.132588499531,-411.116871558553,4729.13016218116,963.883128441447,5229.13016218116
"USA",1993,59335.0356775994,-126.961857743327,13429890.4095197,42.9473831633461,-68.638019649898,-73.359391972195,-436.116871558553,4729.13016218116,788.883128441447,5129.13016218116
"Canada",1993,1052359.83077527,-294.913329565133,150871919.3523,43.8172231941788,-61.6986349505289,496.880305048476,-436.116871558553,4729.13016218116,788.883128441447,5129.13016218116
"USA",1994,53300.7590392825,-125.467810691997,12101659.4898968,43.044276654637,-68.5826913774368,-70.7159909502092,-361.116871558553,4729.13016218116,863.883128441447,5154.13016218116
"Canada",1994,892336.026108805,-348.63063930493,170612170.482507,43.9036110702031,-61.2745739760833,528.513895566764,-361.116871558553,4729.13016218116,863.883128441447,5154.13016218116
"USA",1995,60874.4446140952,-121.493360888875,11806497.063314,42.8506403255444,-68.6801911211783,-76.6280653506881,-386.116871558553,4729.13016218116,763.883128441447,5129.13016218116
"Canada",1995,1129480.09121481,-462.567897785943,141706802.756132,43.8515473946484,-60.9062552079555,546.050359713474,-386.116871558553,4729.13016218116,763.883128441447,5129.13016218116
"USA",1996,59933.9481011589,-128.093854284767,11954078.2766054,43.141677351244,-68.5300428899142,-69.657467141158,-361.116871558553,4729.13016218116,613.883128441447,5154.13016218116
"Canada",1996,1021220.83064557,-309.792138061966,157217000.072724,43.8529988919207,-61.7212023227537,497.605245637493,-361.116871558553,4729.13016218116,613.883128441447,5154.13016218116
"USA",1997,63182.8973625125,-132.308100591226,12101659.4898968,43.0836856940052,-68.5481778358679,-69.2474344902314,-361.116871558553,4729.13016218116,588.883128441447,5129.13016218116
